|arrests|tags
1326|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1327|AGGRAVATED BATTERY OF LAW ENFORCEMENT OFFICER|Battery
1328|RESIST/OBSTRUCT ARREST|Obstruction
1329|RUNAWAY|Runaway
1330|CRIMINAL TRESPASS|Trespass
1331|CARRYING CONCEALED FIREARM|Firearms
1332|POSSESSION OF MARIJUANA|Marijuana
1333|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
1334|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
1335|FAILURE TO DIM LIGHTS ON COMING TRAFFIC|Traffic Violation
1336|BATTERY DOMESTIC VIOLENCE|Battery
1337|UNLAWFUL POSSESSION OF METH|Meth
1338|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1339|UNLAWFUL POSSESSION OF METH|Meth
1340|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1341|ROBBERY FROM PERSON|Robbery
1342|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
1343|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
1344|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
1345|RESIST/OBSTRUCT ARREST|Obstruction
1346|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
1347|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
1348|OFFICIAL TRAFFIC CONTROL DEVICE|Traffic Violation
1349|FAILURE TO SIGNAL TURN|Traffic Violation
1350|CRIMINAL TRESPASS|Trespass
1351|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1352|CHILD ENDANGERMENT|Child Abuse
1353|OBSTRUCT LEGAL PROCESS|Obstruction
1354|HIT AND RUN PARKED VEHICLE|Hit and Run
1355|NO DRIVER'S LICENSE|License
1356|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol
1357|CURFEW|Curfew
1358|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol
1359|AGGRAVATED ASSAULT|Assault
1360|OTHER DESTRUCTION TO PROPERTY|Property Damage
1361|DOMESTIC BATTERY BODILY HARM|Battery
1362|DRIVE UNDER THE INFLUENCE|DUI
1363|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
1364|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
1365|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1366|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
1367|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
1368|CRIMINAL TRESPASS|Trespass
1369|CRIMINAL TRESPASS|Trespass
1370|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
1371|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
1372|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
1373|CRIMINAL TRESPASS|Trespass
1374|UNLAWFUL POSSESSION OF METH|Meth
1375|RESIST/OBSTRUCT ARREST|Obstruction
1376|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1377|UNLAWFUL POSSESSION OF METH|Meth
1378|POSSESSION OF NARCOTICS|Narcotics
1379|POSSESSION OF MARIJUANA|Marijuana
1380|UNLAWFUL POSSESSION OF METH|Meth
1381|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance
1382|ROBBERY FROM PERSON|Robbery
1383|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
1384|CRIMINAL TRESPASS|Trespass
1385|LARCENY B SHOPLIFT|Larceny
1386|PETIT THEFT|Theft
1387|PETIT THEFT|Theft
1388|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
1389|BATTERY PHYSICAL CONTACT/RUDE MANNER|Battery
1390|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
1391|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1392|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1393|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1394|AGGRAVATED ASSAULT DRIVE BY FIREARMS|Firearms
1395|MURDER/NEGLIGENT MANSLAUGHTER|Manslaughter
1396|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1397|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1398|ROBBERY, COMMERCIAL HOUSE, AGGRAVATED|Robbery
1399|AGGRAVATED KIDNAPPING|Kidnapping
1400|RESIST/OBSTRUCT ARREST|Obstruction
1401|CRIMINAL POSSESSION OF FIREARM BY JUVENILE|Firearms
1402|STOLEN PROPERTY BUYING|Theft
1403|ROBBERY, COMMERCIAL HOUSE, AGGRAVATED|Robbery
1404|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
1405|DRIVE UNDER THE INFLUENCE|DUI
1406|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
1407|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1408|DISPLAY ALTERED TAG|Traffic Violation
1409|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
1410|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
1411|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
1412|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1413|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1414|PETIT THEFT|Theft
1415|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1416|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
1417|POSSESSION OF NARCOTICS|Narcotics
1418|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1419|ILLEGAL RIGHT TURN|Traffic Violation
1420|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
1421|NO PROOF OF INSURANCE|Insurance
1422|HIT AND RUN INJURY ACCIDENT|Hit and Run
1423|NO DRIVER'S LICENSE|License
1424|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1425|BATTERY DOMESTIC VIOLENCE|Battery
1426|SPEED 30 MPH|Speed Limit
1427|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1428|RECKLESS DRIVING|Traffic Violation
1429|OTHER DESTRUCTION TO PROPERTY|Property Damage
1430|NO SEAT BELT|Traffic Violation
1431|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
1432|FAILURE TO SIGNAL TURN|Traffic Violation
1433|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
1434|CRIMINAL TRESPASS|Trespass
1435|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1436|UNLAWFUL POSSESSION OF METH|Meth
1437|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1438|RESIST/OBSTRUCT ARREST|Obstruction
1439|RUNAWAY|Runaway
1440|OTHER DESTRUCTION TO AUTO|Property Damage
1441|OTHER DESTRUCTION TO AUTO|Property Damage
1442|OTHER DESTRUCTION TO AUTO|Property Damage
1443|BURGLARY NON RESIDENCE VEHICLE|Burglary
1444|LARCENY B FROM AUTO|Larceny
1445|CARRY CONCEALED WEAPON|Weapons
1446|POSSESSION OF FIREARM BY A FELON|Firearms
1447|AGGRAVATED WEAPONS VIOLATION|Weapons
1448|UNLAWFUL POSSESSION OF METH|Meth
1449|AGGRAVATED ASSAULT FIREARMS|Firearms
1450|POSSESSION OF MARIJUANA|Marijuana
1451|INTIMIDATION DOMESTIC VIOLENCE|Intimidation
1452|BATTERY DOMESTIC VIOLENCE|Battery
1453|FIGHTING/DOMESTIC VIOLENCE|Domestic Violence
1454|BATTERY DOMESTIC VIOLENCE|Battery
1455|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
1456|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
1457|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1458|DEFECTIVE HEADLIGHT|Traffic Violation
1459|NO PROOF OF INSURANCE|Insurance
1460|BURGLARY RESIDENCE|Burglary
1461|BURGLARY RESIDENCE|Burglary
1462|POSSESSION OF NARCOTICS|Narcotics
1463|POSSESSION OF PARAPHERNALIA|Misc Drugs
1464|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
1465|PETIT THEFT|Theft
1466|PETIT THEFT|Theft
1467|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1468|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1469|DUI INCAPABLE OF SAFELY OPERATING|DUI
1470|UNSAFE LANE CHANGE|Traffic Violation
1471|UNLAWFUL POSSESSION OF METH|Meth
1472|BATTERY DOMESTIC VIOLENCE|Battery
1473|POSSESSION OF MARIJUANA|Marijuana
1474|POSSESSION OF PARAPHERNALIA|Misc Drugs
1475|POSSESSION OF FIREARM BY A FELON|Firearms
1476|SEXUAL EXPLOITATION OF A CHILD|Child Exploitation
1477|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
1478|LARCENY B SHOPLIFT|Larceny
1479|UNLAWFUL POSSESSION OF METH|Meth
1480|LARCENY B SHOPLIFT|Larceny
1481|POSSESSION OF FIREARM BY A FELON|Firearms
1482|ROBBERY AGGRAVATED VEHICLE TAKEN|Robbery
1483|CRIMINAL DISCHARGE OF FIREARM|Firearms
1484|RUNAWAY|Runaway
1485|CRIMINAL TRESPASS|Trespass
1486|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1487|POSSESSION OF NARCOTICS|Narcotics
1488|UNLAWFUL RESTRAINT DOMESTIC VIOLENCE|Domestic Violence
1489|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
1490|OTHER DESTRUCTION TO AUTO|Property Damage
1491|ILLEGAL TAG|Traffic Violation
1492|DUI|DUI
1493|DUI INCAPABLE OF SAFELY OPERATING|DUI
1494|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
1495|VIOLATE DRIVERS LICENSE RESTRICTION|License
1496|DUI INCAPABLE OF SAFELY OPERATING|DUI
1497|DUI|DUI
1498|DUI INCAPABLE OF SAFELY OPERATING|DUI
1499|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1500|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
1501|INTIMIDATION DOMESTIC VIOLENCE|Intimidation
1502|BATTERY BODILY HARM DOMESTIC|Battery
1503|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1504|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
1505|ILLEGAL TAG|Traffic Violation
1506|UNLAWFUL TO LITTER|Littering
1507|BATTERY BODILY HARM DOMESTIC|Battery
1508|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1509|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
1510|AGGRAVATED ASSAULT|Assault
1511|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
1512|UNLAWFUL RESTRAINT|Interference
1513|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1514|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1515|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1516|FAILURE TO SIGNAL TURN|Traffic Violation
1517|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1518|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1519|BATTERY DOMESTIC VIOLENCE|Battery
1520|ROBBERY AGGRAVATED VEHICLE TAKEN|Robbery
1521|RUNAWAY|Runaway
1522|BATTERY OF LAW ENFORCEMENT OFFICER|Battery
1523|CRIMINAL DISCHARGE OF FIREARM|Firearms
1524|UNLAWFUL USE OF A WEAPON|Weapons
1525|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1526|UNSAFE LANE CHANGE|Traffic Violation
1527|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
1528|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1529|DOMESTIC BATTERY BODILY HARM|Battery
1530|CRIMINAL DEPRIVATION OF PROPERTY|Theft
1531|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1532|PEDESTRIAN USE OUTSIDE LEFT EDGE|Traffic Violation
1533|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1534|BURGLARY RESIDENCE VEHICLE/PROPERTY TAKEN|Burglary
1535|RUNAWAY|Runaway
1536|VIOLATION OF PROTECTIVE ORDER|Court Order
1537|TEMPORARY CRIMINAL DEPRIVATION OF VEHICLE|Vehicle Theft
1538|RUNAWAY|Runaway
1539|DRIVE WRONG WAY/ONE WAY|Traffic Violation
1540|DUI|DUI
1541|DUI INCAPABLE OF SAFELY OPERATING|DUI
1542|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1543|DUI CHILD ENDANGERMENT|DUI
1544|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
1545|PANDERING/PROCUREMENT/PIMPING|Procurement
1546|POSSESSION OF MARIJUANA|Marijuana
1547|DOMESTIC BATTERY PHYSICAL CONTACT|Battery
1548|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1549|PETIT THEFT|Theft
1550|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1551|BATTERY DOMESTIC VIOLENCE|Battery
1552|POSSESSION OF MARIJUANA|Marijuana
1553|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1554|RESIST/OBSTRUCT ARREST|Obstruction
1555|POSSESSION OF MARIJUANA|Marijuana
1556|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
1557|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
1558|DUI|DUI
1559|DUI INCAPABLE OF SAFELY OPERATING|DUI
1560|HIT AND RUN PARKED VEHICLE|Hit and Run
1561|TIRES UNSAFE|Traffic Violation
1562|UNLAWFUL POSSESSION OF METH|Meth
1563|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
1564|POSSESSION OF FIREARM BY A FELON|Firearms
1565|UNLAWFUL POSSESSION OF NON NARCOTICS|Narcotics
1566|POSSESSION OF NARCOTICS|Narcotics
1567|OBSTRUCT LEGAL PROCESS|Obstruction
1568|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1569|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1570|POSSESSION OF MARIJUANA|Marijuana
1571|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1572|POSSESSION OF NARCOTICS|Narcotics
1573|FAILURE TO SIGNAL TURN|Traffic Violation
1574|NO SEAT BELT|Traffic Violation
1575|CARRYING CONCEALED FIREARM|Firearms
1576|UNLAWFUL POSSESSION OF METH|Meth
1577|POSSESSION OF PARAPHERNALIA|Misc Drugs
1578|CRIMINAL TRESPASS|Trespass
1579|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1580|TAG ILLUMINATED|Traffic Violation
1581|CRIMINAL TRESPASS|Trespass
1582|CRIMINAL TRESPASS|Trespass
1583|HIT AND RUN|Hit and Run
1584|NO PROOF OF INSURANCE|Insurance
1585|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1586|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1587|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
1588|BATTERY DOMESTIC VIOLENCE|Battery
1589|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
1590|CRIMINAL CONTEMPT DOMESTIC VIOLENCE|Domestic Violence
1591|CRIMINAL TRESPASS|Trespass
1592|RUNAWAY|Runaway
1593|UNLAWFUL POSSESSION OF METH|Meth
1594|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1595|PETIT THEFT|Theft
1596|BATTERY DOMESTIC VIOLENCE|Battery
1597|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1598|BATTERY|Battery
1599|CHILD ENDANGERMENT|Child Abuse
1600|UNLAWFUL POSSESSION OF METH|Meth
1601|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1602|RUNAWAY|Runaway
1603|BATTERY DOMESTIC VIOLENCE|Battery
1604|CONSUME ALCOHOL IN PUBLIC|Alcohol
1605|CONSUME ALCOHOL IN PUBLIC|Alcohol
1606|BATTERY BODILY HARM|Battery
1607|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol
1608|FAILURE TO SIGNAL TURN|Traffic Violation
1609|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1610|NO PROOF OF INSURANCE|Insurance
1611|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
1612|DRIVE UNDER THE INFLUENCE|DUI
1613|DRIVERS LICENSE RESTRICTION VIOLATION|License
1614|FAILURE TO DRIVE WITHIN MARKED LANE|Traffic Violation
1615|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
1616|POSSESSION OF MARIJUANA|Marijuana
1617|SALE/DISTRIBUTION OF ANABOLIC STEROIDS|Misc Drugs
1618|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1619|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1620|DISPLAY ALTERED TAG|Traffic Violation
1621|KNOWINGLY DRIVE UNINSURED VEHICLE|Insurance
1622|POSSESSION OF FIREARM BY A FELON|Firearms
1623|WALK ON ROADWAY WHEN SIDEWALK PROVIDED|Traffic Violation
1624|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1625|BATTERY PHYSICAL CONTACT/RUDE DOMESTIC|Battery
1626|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
1627|BURGLARY NON DWELLING|Burglary
1628|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
1629|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
1630|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
1631|RUNAWAY|Runaway
1632|DUI DRUG|DUI
1633|DUI|DUI
1634|OTHER DESTRUCTION TO PROPERTY|Property Damage
1635|HIT AND RUN INJURY ACCIDENT|Hit and Run
1636|CHILD ENDANGERMENT|Child Abuse
1637|POSSESSION OF MARIJUANA|Marijuana
1638|STOLEN PROPERTY BUYING|Theft
1639|POSSESSION OF NARCOTICS|Narcotics
1640|RESIST/OBSTRUCT ARREST|Obstruction
1641|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1642|FAILURE TO SIGNAL TURN|Traffic Violation
1643|UNLAWFUL POSSESSION OF METH|Meth
1644|AGGRAVATED BATTERY, DOMESTIC VIOLENCE|Battery
1645|BATTERY|Battery
1646|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1647|POSSESSION OF FIREARM BY A FELON|Firearms
1648|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1649|HIT AND RUN DAMAGE TO PROPERTY OR VEHICLE|Hit and Run
1650|FLEE OR ATTEMPT TO ELUDE POLICE OFF|Elusion
1651|OTHER DESTRUCTION TO PROPERTY|Property Damage
1652|FAILURE TO SIGNAL TURN|Traffic Violation
1653|RUN STOP SIGN|Traffic Violation
1654|RECKLESS DRIVING|Traffic Violation
1655|SPEED 30 MPH|Speed Limit
1656|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License
1657|DRIVE UNDER THE INFLUENCE|DUI
1658|POSSESSION OF FIREARM BY A FELON|Firearms
1659|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
1660|AGGRAVATED ASSAULT|Assault
1661|RESIST/OBSTRUCT ARREST|Obstruction
1662|LARCENY B FROM AUTO|Larceny
1663|BURGLARY NON RESIDENCE|Burglary
1664|DOMESTIC BATTERY|Battery
1665|POSSESSION OF NARCOTICS|Narcotics
1666|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License
1667|TAIL LAMPS|Traffic Violation
1668|DOMESTIC BATTERY BODILY HARM|Battery
1669|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1670|VIOLATION OF PROTECTIVE ORDER|Court Order
1671|INTIMIDATION DOMESTIC VIOLENCE|Intimidation
1672|INTIMIDATION|Intimidation
1673|CRIMINAL TRESPASS|Trespass
1674|PETIT THEFT|Theft
1675|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1676|VIOLATION OF PROTECTION FROM ABUSE|Court Order
1677|CRIMINAL TRESPASS|Trespass
1678|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1679|HUMAN TRAFFICKING|Trafficking
1680|OTHER WEAPONS VIOLATIONS|Weapons
1681|POSSESSION OF NARCOTICS|Narcotics
1682|POSSESSION OF MARIJUANA|Marijuana
1683|STOLEN PROPERTY BUYING|Theft
1684|VIOLATION OF PROTECTION FROM ABUSE|Court Order
1685|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
1686|PETIT THEFT|Theft
1687|UNLAWFUL POSSESSION OF METH|Meth
1688|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1689|RUN STOP SIGN|Traffic Violation
1690|CHILD ENDANGERMENT|Child Abuse
1691|DISTURBING THE PEACE|Disturbance
1692|PETIT THEFT|Theft
1693|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance
1694|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1695|DISTURBING THE PEACE|Disturbance
1696|CHILD ENDANGERMENT|Child Abuse
1697|ILLEGAL TAG|Traffic Violation
1698|NO DRIVER'S LICENSE|License
1699|NO PROOF OF INSURANCE|Insurance
1700|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1701|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
1702|POSSESSION OF ILLEGAL WEAPONS|Weapons
1703|POSSESSION OF MARIJUANA|Marijuana
1704|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1705|CRIMINAL DEPRIVATION OF PROPERTY|Theft
1706|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1707|DOMESTIC BATTERY BODILY HARM|Battery
1708|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1709|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1710|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
1711|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1712|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1713|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1714|ILLEGAL TAG|Traffic Violation
1715|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1716|NO PROOF OF INSURANCE|Insurance
1717|VIOLATION OF PROTECTION FROM ABUSE|Court Order
1718|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
1719|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1720|ILLEGAL TAG|Traffic Violation
1721|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1722|ILLEGAL TAG|Traffic Violation
1723|DRIVE UNDER THE INFLUENCE|DUI
1724|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
1725|WRONG WAY ON ONE WAY STREET|Traffic Violation
1726|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1727|NO PROOF OF INSURANCE|Insurance
1728|SEAT BELT REQUIRED 18 OR OLDER|Traffic Violation
1729|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage
1730|POSSESSION OF PARAPHERNALIA|Misc Drugs
1731|POSSESSION OF FIREARM BY A FELON|Firearms
1732|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
1733|OBSTRUCT LEGAL PROCESS|Obstruction
1734|DUI INCAPABLE OF SAFELY OPERATING|DUI
1735|UNSAFE LANE CHANGE|Traffic Violation
1736|DOMESTIC BATTERY BODILY HARM|Battery
1737|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
1738|POSSESSION OF FIREARM BY A FELON|Firearms
1739|INTIMIDATION DOMESTIC VIOLENCE|Intimidation
1740|UNLAWFUL POSSESSION OF METH|Meth
1741|CRIMINAL TRESPASS|Trespass
1742|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
1743|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
1744|AGGRAVATED BATTERY|Battery
1745|LARCENY B ALL OTHER|Larceny
1746|PETIT THEFT|Theft
1747|UNLAWFUL SALE OF MARIJUANA|Marijuana
1748|DRIVE WHILE SUSPENDED|Traffic Violation
1749|PETIT THEFT|Theft
1750|WILLFUL CRIMINAL DAMAGE TO PROPERTY DOMESTIC VIOLENCE|Property Damage
1751|AGGRAVATED ASSAULT/DOMESTIC VIOLENCE|Assault
1752|POSSESSION OF FIREARM BY A FELON|Firearms
1753|UNLAWFUL ACTS/ILLEGAL TAGS|Traffic Violation
1754|POSSESSION OF MARIJUANA|Marijuana
1755|POSSESSION OF FIREARM BY A FELON|Firearms
1756|PETIT THEFT CONTAINING STOLEN PROPERTY|Theft
1757|CRIMINAL POSSESSION OF FIREARM BY JUVENILE|Firearms
1758|CONCEALED TAG|Traffic Violation
1759|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1760|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1761|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Interference
1762|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana
1763|DUTY OF DRIVER TO GIVE CERTAIN INFO|Interference
1764|DUI|DUI
1765|NO DRIVER'S LICENSE|License
1766|INATTENTIVE DRIVING|Traffic Violation
1767|BATTERY DOMESTIC VIOLENCE|Battery
1768|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
1769|BATTERY DOMESTIC VIOLENCE|Battery
1770|UNLAWFUL POSSESSION OF METH|Meth
1771|POSSESSION OF DRUG PARAPHERNALIA|Misc Drugs
1772|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
1773|RUNAWAY|Runaway
1774|DISORDERLY CONDUCT BRAWLING/FIGHTING DOMESTIC VIOLENCE|Disturbance
1775|BATTERY DOMESTIC VIOLENCE|Battery
1776|DESTRUCTION OF PROPERTY DOMESTIC VIOLENCE|Property Damage
1777|ROBBERY, HIGHWAY, AGGRAVATED|Robbery
1778|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License
1779|DISPLAY ALTERED TAG|Traffic Violation
1780|SIMPLE ASSAULT|Assault
1781|DRIVE UNDER THE INFLUENCE|DUI
1782|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol
