|arrests|tags|stems
2672|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
2673|OTHER DRUG VIOLATIONS|Narcotics / Other Drugs|drug violat
2674|BATTERY BODILY HARM|Battery|batteri bodili harm
2675|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2676|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
2677|UNLAWFUL INHALATION|Narcotics / Other Drugs|unlaw inhal
2678|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
2679|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2680|BACK UP LAMPS ON|Vehicle / Traffic Violation|back lamp
2681|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2682|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2683|CRIMINAL TRESPASS|Trespass|crimin trespass
2684|PETIT THEFT CONTAINING STOLEN PROPERTY|Theft|petit theft contain stolen properti
2685|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2686|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2687|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2688|OTHER NARCOTIC VIOLATIONS|Narcotics / Other Drugs|narcot violat
2689|LAMPS, BRAKES, AND OTHER EQUIPMENT|Vehicle / Traffic Violation|lamp brake equip
2690|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
2691|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
2692|NO DRIVER'S LICENSE|License|driver licens
2693|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
2694|MINORS POSSESSING, CONSUMING, PURCHASING, OBTAINING ALCOHOL/LIQUOR BEVERAGES|Alcohol|minor possess consum purchas obtain alcohol liquor beverag
2695|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2696|NO PROOF OF INSURANCE|Insurance|proof insur
2697|FLEE OR ATTEMPT TO ELUDE POLICE OFFICER|Elusion|flee attempt elud polic offic
2698|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
2699|STOLEN PROPERTY BUYING|Theft|stolen properti buy
2700|RESTRICT ON LICENSE: SUSPENDED/REVOKE|License|restrict licens suspend revok
2701|NO SEAT BELT|Vehicle / Traffic Violation|seat belt
2702|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2703|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2704|PETIT THEFT CONTAINING STOLEN PROPERTY|Theft|petit theft contain stolen properti
2705|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
2706|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2707|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
2708|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
2709|TRAFFIC CONTROL SIGNALS|Vehicle / Traffic Violation|traffic control signal
2710|UNLAWFUL ACTS/ILLEGAL TAGS|Vehicle / Traffic Violation|unlaw act illeg tag
2711|ROBBERY, HIGHWAY, AGGRAVATED|Robbery|robberi highway aggrav
2712|ABDUCTION/KIDNAPPING|Kidnapping|abduct kidnap
2713|AGGRAVATED CHILD ENDANGERMENT|Child Abuse|aggrav child endanger
2714|ABDUCTION/KIDNAPPING|Kidnapping|abduct kidnap
2715|AUTO THEFT NOT RECOVERED|Theft|auto theft recov
2716|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2717|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2718|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
2719|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2720|STOLEN PROPERTY BUYING|Theft|stolen properti buy
2721|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2722|TAIL LAMPS|Vehicle / Traffic Violation|tail lamp
2723|BATTERY|Battery|batteri
2724|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2725|POSSESSION OF ILLEGAL WEAPONS|Weapons|possess illeg weapon
2726|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
2727|STOLEN PROPERTY BUYING|Theft|stolen properti buy
2728|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
2729|RUNAWAY|Runaway|runaway
2730|STOLEN PROPERTY BUYING|Theft|stolen properti buy
2731|TERRORISTIC THREATS|Intimidation|terrorist threat
2732|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
2733|SEAT BELT REQUIRED 18 OR OLDER|Vehicle / Traffic Violation|seat belt requir older
2734|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
2735|INATTENTIVE DRIVING|Vehicle / Traffic Violation|inattent drive
2736|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2737|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
2738|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2739|STOLEN PROPERTY BUYING|Theft|stolen properti buy
2740|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
2741|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2742|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2743|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2744|POSSESSION OF ILLEGAL WEAPONS|Weapons|possess illeg weapon
2745|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2746|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
2747|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
2748|PETIT THEFT|Theft|petit theft
2749|PETIT THEFT|Theft|petit theft
2750|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2751|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
2752|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2753|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
2754|OTHER NARCOTIC VIOLATIONS|Narcotics / Other Drugs|narcot violat
2755|CRIMINAL TRESPASS|Trespass|crimin trespass
2756|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2757|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
2758|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2759|CRIMINAL TRESPASS|Trespass|crimin trespass
2760|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
2761|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
2762|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
2763|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2764|SALE OF SEXUAL RELATIONS|Procurement|sale sexual relat
2765|WORK AS AN ESCORT WITHOUT LICENSE|Procurement|work escort without licens
2766|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
2767|TEMPORARY CRIMINAL DEPRIVATION OF VEHICLE|Theft|temporari crimin depriv vehicl
2768|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
2769|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2770|ASSAULT, AGGRAVATED, FIREARMS|Firearms|assault aggrav firearm
2771|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
2772|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
2773|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
2774|DISORDERLY CONDUCT OFFENSIVE LANGUAGE|Disturbance|disorderli conduct offens languag
2775|TURN SIGNALS REQUIRED|Vehicle / Traffic Violation|turn signal requir
2776|DUI|DUI|dui
2777|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
2778|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2779|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2780|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
2781|OBSTRUCT LEGAL PROCESS|Obstruction|obstruct legal process
2782|POSSESSION OF CONTROL MARIJUANA/HALLUCINOGENICS|Marijuana|possess control marijuana hallucinogen
2783|BATTERY|Battery|batteri
2784|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
2785|OTHER DESTRUCTION TO AUTO|Property Damage|destruct auto
2786|INTIMIDATION|Intimidation|intimid
2787|INTIMIDATION|Intimidation|intimid
2788|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2789|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
2790|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
2791|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2792|OBSTRUCT LEGAL PROCESS OR OFFICIAL DUTY|Obstruction|obstruct legal process offici duti
2793|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
2794|SIMPLE ASSAULT LAW ENFORCEMENT OFFICER|Assault|simpl assault law enforc offic
2795|UNLAWFUL POSSESSION OF MARIJUANA DEPRESSANT|Marijuana|unlaw possess marijuana depress
2796|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
2797|RECKLESS DRIVING|Vehicle / Traffic Violation|reckless drive
2798|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
2799|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
2800|DUI SECOND|DUI|dui second
2801|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
2802|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2803|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2804|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
2805|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
2806|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2807|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
2808|CHILD ENDANGERMENT|Child Abuse|child endanger
2809|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2810|DRIVE WHILE SUSPENDED|License|drive suspend
2811|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
2812|CRIMINAL TRESPASS|Trespass|crimin trespass
2813|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2814|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2815|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2816|SIGNAL TURN 100 FEET|Vehicle / Traffic Violation|signal turn feet
2817|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2818|ILLEGAL TAG|Vehicle / Traffic Violation|illeg tag
2819|NO PROOF OF INSURANCE|Insurance|proof insur
2820|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2821|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2822|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2823|NO PROOF OF INSURANCE|Insurance|proof insur
2824|PETIT THEFT|Theft|petit theft
2825|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
2826|DUI DRUG|DUI|dui drug
2827|DUI SECOND|DUI|dui second
2828|NO SEAT BELT|Vehicle / Traffic Violation|seat belt
2829|SALE OR POSSESS WITH INTENT TO SELL NARCOTICS WITHIN 1000 FT OF SCHOOL|Narcotics / Other Drugs|sale possess intent sell narcot within ft school
2830|SALE OR POSSESS WITH INTENT TO SELL MARIJUANA WITHIN 1000 FT OF SCHOOL|Marijuana|sale possess intent sell marijuana within ft school
2831|UNLAWFUL SALE OF NON NARCOTICS|Narcotics / Other Drugs|unlaw sale non narcot
2832|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2833|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2834|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
2835|PETIT THEFT|Theft|petit theft
2836|CRIMINAL TRESPASS|Trespass|crimin trespass
2837|PETIT THEFT|Theft|petit theft
2838|BURGLARY RESIDENCE|Burglary|burglari resid
2839|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
2840|LARCENY B SHOPLIFT|Larceny|larceni b shoplift
2841|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2842|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
2843|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2844|DISORDERLY CONDUCT BRAWLING/FIGHTING|Disturbance|disorderli conduct brawl fight
2845|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2846|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
2847|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2848|BATTERY|Battery|batteri
2849|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
2850|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2851|AGGRAVATED ASSAULT|Assault|aggrav assault
2852|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2853|AGGRAVATED BATTERY,|Battery|aggrav batteri
2854|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2855|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
2856|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
2857|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2858|LICENSE TO BE CARRIED AND EXHIBITED ON DEMAND|License|licens carri exhibit demand
2859|FAILURE TO DRIVE WITHIN MARKED LANE|Vehicle / Traffic Violation|failur drive within mark lane
2860|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2861|POSSESSION OF PARAPHERNALIA|Drug Paraphernalia|possess paraphernalia
2862|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
2863|PETIT THEFT|Theft|petit theft
2864|FAILURE TO USE TRAFFIC CONTROL DEVICE|Vehicle / Traffic Violation|failur use traffic control devic
2865|CONCEALED TAG|Vehicle / Traffic Violation|conceal tag
2866|NO DRIVER'S LICENSE|License|driver licens
2867|POSSESSION OF OTHER SUBSTANCE|Narcotics / Other Drugs|possess substanc
2868|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2869|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2870|INTERFERE WITH LAW ENFORCEMENT OBSTRUCT, RESIST, ETC|Obstruction|interfer law enforc obstruct resist etc
2871|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
2872|SIMPLE ASSAULT LAW ENFORCEMENT OFFICER|Assault|simpl assault law enforc offic
2873|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
2874|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2875|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2876|RUNAWAY|Runaway|runaway
2877|TRANSPORT OPEN ALCOHOL/LIQUOR BEVERAGE IN AREA OCCUPIED BY THE DRIVER|Alcohol|transport open alcohol liquor beverag area occupi driver
2878|BATTERY BODILY HARM|Battery|batteri bodili harm
2879|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2880|AGGRAVATED ASSAULT|Assault|aggrav assault
2881|INTIMIDATION|Intimidation|intimid
2882|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2883|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2884|TRANSPORT OPEN CONTAINER LIQUOR|Alcohol|transport open contain liquor
2885|FAILURE TO SIGNAL TURN|Vehicle / Traffic Violation|failur signal turn
2886|ILLEGAL LEFT TURN|Vehicle / Traffic Violation|illeg left turn
2887|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
2888|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2889|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2890|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2891|UNSAFE LANE CHANGE|Vehicle / Traffic Violation|unsaf lane chang
2892|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
2893|DUI|DUI|dui
2894|REMAINING IN PARK AFTER HOURS|Trespass|remain park hour
2895|BATTERY|Battery|batteri
2896|AGGRAVATED BATTERY,|Battery|aggrav batteri
2897|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2898|DUI INCAPABLE OF SAFELY OPERATING|DUI|dui incap safe oper
2899|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2900|RUN RED LIGHT|Vehicle / Traffic Violation|run red light
2901|AGGRAVATED BATTERY,|Battery|aggrav batteri
2902|BATTERY|Battery|batteri
2903|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2904|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
2905|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2906|POSSESSION OF A SAWED OFF SHOTGUN/RIFLE/AUTO|Firearms|possess saw shotgun rifl auto
2907|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2908|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
2909|WINDSHIELD OBSCURED|Vehicle / Traffic Violation|windshield obscur
2910|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2911|BATTERY|Battery|batteri
2912|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2913|BURGLARY NON RESIDENCE|Burglary|burglari non resid
2914|BURGLARY NON DWELLING|Burglary|burglari non dwell
2915|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
2916|BATTERY|Battery|batteri
2917|OTHER DESTRUCTION TO AUTO|Property Damage|destruct auto
2918|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
2919|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
2920|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
2921|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
2922|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
2923|SEAT BELT REQUIRED 18 OR OLDER|Vehicle / Traffic Violation|seat belt requir older
2924|BATTERY BODILY HARM|Battery|batteri bodili harm
2925|SEXUAL BATTERY|Sexual Assault|sexual batteri
2926|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2927|TRANSPORT OPEN ALCOHOLIC BEVERAGES|Alcohol|transport open alcohol beverag
2928|FAILURE TO FILE LICENSE APPLICATION FOR AFTER HOURS ESTABLISHMENT|License|failur file licens applic hour establish
2929|AGGRAVATED ASSAULT|Assault|aggrav assault
2930|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2931|AGGRAVATED BATTERY,|Battery|aggrav batteri
2932|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
2933|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2934|BATTERY BODILY HARM|Battery|batteri bodili harm
2935|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2936|PUBLIC NUDITY PROHIBITED APPEAR IN STATE OF NUDITY|Public Indecency|public nuditi prohibit appear state nuditi
2937|CRIMINAL TRESPASS|Trespass|crimin trespass
2938|PETIT THEFT|Theft|petit theft
2939|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2940|AGGRAVATED ASSAULT|Assault|aggrav assault
2941|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2942|SALE OR POSSESS WITH INTENT TO SELL NARCOTICS WITHIN 1000 FT OF SCHOOL|Narcotics / Other Drugs|sale possess intent sell narcot within ft school
2943|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2944|SALE OR POSSESS WITH INTENT TO SELL MARIJUANA WITHIN 1000 FT OF SCHOOL|Marijuana|sale possess intent sell marijuana within ft school
2945|STOLEN PROPERTY BUYING|Theft|stolen properti buy
2946|PEDESTRIAN MUST USE TRAFFIC CONTROL DEVICE|Vehicle / Traffic Violation|pedestrian must use traffic control devic
2947|OTHER WEAPONS VIOLATIONS|Weapons|weapon violat
2948|STOLEN PROPERTY BUYING|Theft|stolen properti buy
2949|UNLAWFUL SALE OR DISTRIBUTION OF NARCOTICS|Narcotics / Other Drugs|unlaw sale distribut narcot
2950|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
2951|DEFACE/OBLITERATE SERIAL NUMBER OF FIREARM|Firearms|defac obliter serial number firearm
2952|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2953|PETIT THEFT|Theft|petit theft
2954|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
2955|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2956|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
2957|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2958|AGGRAVATED BATTERY,|Battery|aggrav batteri
2959|BURGLARY AGGRAVATED RESIDENCE|Burglary|burglari aggrav resid
2960|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2961|EMBEZZLEMENT|Embezzlement|embezzl
2962|RESIST POLICE/ARREST|Obstruction|resist polic arrest
2963|CRIMINAL TRESPASS|Trespass|crimin trespass
2964|BATTERY|Battery|batteri
2965|AGGRAVATED CHILD ENDANGERMENT|Child Abuse|aggrav child endanger
2966|AGGRAVATED BATTERY,|Battery|aggrav batteri
2967|AGGRAVATED ASSAULT|Assault|aggrav assault
2968|AGGRAVATED ASSAULT|Assault|aggrav assault
2969|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
2970|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2971|INTIMIDATION|Intimidation|intimid
2972|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2973|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2974|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
2975|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
2976|BATTERY OF LAW ENFORCEMENT OFFICER|Battery|batteri law enforc offic
2977|BATTERY PHYSICAL CONTACT|Battery|batteri physic contact
2978|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2979|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
2980|BURGLARY RESIDENCE|Burglary|burglari resid
2981|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
2982|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
2983|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2984|BATTERY BODILY HARM|Battery|batteri bodili harm
2985|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2986|RUNAWAY|Runaway|runaway
2987|AGGRAVATED BATTERY,|Battery|aggrav batteri
2988|OTHER DESTRUCTION TO PROPERTY|Property Damage|destruct properti
2989|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2990|BATTERY BODILY HARM|Battery|batteri bodili harm
2991|WILLFUL CRIMINAL DAMAGE TO PROPERTY|Property Damage|will crimin damag properti
2992|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2993|BATTERY BODILY HARM|Battery|batteri bodili harm
2994|BATTERY BODILY HARM|Battery|batteri bodili harm
2995|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
2996|POSSESSION OF NARCOTICS|Narcotics / Other Drugs|possess narcot
2997|DRIVE UNDER THE INFLUENCE|DUI|drive influenc
2998|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
2999|RESIST/OBSTRUCT ARREST|Obstruction|resist obstruct arrest
3000|DRIVING WHILE LICENSE CANCELLED/SUSPENDED/REVOKED|License|drive licens cancel suspend revok
3001|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
3002|HIT AND RUN INJURY ACCIDENT|Hit and Run|hit run injuri accid
3003|POSSESSION OF MARIJUANA|Marijuana|possess marijuana
3004|THEFT LOST/MISLAID PROPERTY|Theft|theft lost mislaid properti
3005|AGGRAVATED BATTERY,|Battery|aggrav batteri
3006|AGGRAVATED ASSAULT|Assault|aggrav assault
3007|DESTRUCTION OF PROPERTY|Property Damage|destruct properti
3008|UNLAWFUL RESTRAINT|Obstruction|unlaw restraint
3009|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3010|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3011|PETIT THEFT|Theft|petit theft
3012|PETIT THEFT|Theft|petit theft
3013|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3014|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
3015|RUN STOP SIGN|Vehicle / Traffic Violation|run stop sign
3016|BATTERY|Battery|batteri
3017|AGGRAVATED KIDNAPPING|Kidnapping|aggrav kidnap
3018|LARCENY B FROM AUTO|Larceny|larceni b auto
3019|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3020|TEMPORARY CRIMINAL DEPRIVATION OF VEHICLE|Theft|temporari crimin depriv vehicl
3021|DRIVING ON SUSPENDED/REVOKED/CANCELLED/FRAUDULENT DRIVERS LICENSE|License|drive suspend revok cancel fraudul driver licens
3022|UNLAWFUL POSSESSION OF METH|Meth|unlaw possess meth
3023|POSSESSION OF DRUG PARAPHERNALIA|Drug Paraphernalia|possess drug paraphernalia
3024|BATTERY|Battery|batteri
3025|AGGRAVATED ASSAULT FIREARMS|Firearms|aggrav assault firearm
3026|CHILD ENDANGERMENT|Child Abuse|child endanger
3027|CRIMINAL DISCHARGE OF FIREARM|Firearms|crimin discharg firearm
3028|POSSESSION OF FIREARM BY A FELON|Firearms|possess firearm felon
3029|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
3030|BURGLARY AGGRAVATED RESIDENCE|Burglary|burglari aggrav resid
3031|INTIMIDATION|Intimidation|intimid
3032|DOMESTIC VIOLENCE|Domestic Violence|domest violenc
