|stems|tags|text
108|disturb peac also known breach peac crimin offens occur person engag form unruli public behavior fight caus excess loud nois person word conduct jeopard anoth person right peac tranquil may charg disturb peac|Disturbance|Disturbing the peace, also known as breach of the peace, is a criminal offense that occurs when a person engages in some form of unruly public behavior, such as fighting or causing excessively loud noise. When a person's words or conduct jeopardizes another person's right to peace and tranquility, he or she may be charged with disturbing the peace.
109|loud nois offens languag address face face manner specif individu utter circumst like produc immedi violent respons reason recipi threaten commit feloni act person circumst like caus reason person fear threat may carri fight creat noxiou offens odor public place privat properti anoth without consent purpos caus inconveni anoth person person unreason physic obstruct vehicular pedestrian traffic free ingress egress public privat place|Disturbance|Loud noise; or Offensive language addressed in a face-to-face manner to a specific individual and uttered under circumstances which are likely to produce an immediate violent response from a reasonable recipient; or Threatening to commit a felonious act against any person under circumstances which are likely to cause a reasonable person to fear that such threat may be carried out; or Fighting; or Creating a noxious and offensive odor; Being in a public place or on private property of another without consent and purposely causes inconvenience to another person or persons by unreasonably and physically obstructing: Vehicular or pedestrian traffic; or The free ingress or egress to or from a public or private place.
110|yell shout hoot whistl sing near public particularli hour eleven p seven time place unreason disturb peac comfort owner possessor real properti|Disturbance|Yelling, shouting, hooting, whistling or singing on or near the public, particularly between the hours of eleven p.m. and seven a.m. or at any time and place as to unreasonably disturb or  re with the peace and comfort of owners or possessors of real property;
111|creation frequent repetit continu sound eman build structur apart condominium unreason disturb re peac comfort owner possessor real properti sound music instrument audio sound system band session social gather|Disturbance|The creation of frequent, repetitive or continuous sounds which emanate from any building, structure, apartment or condominium, which unreasonably disturbs or  res with the peace and comfort of owners or possessors of real property, such as sounds from musical instruments, audio sound systems, band sessions or social gatherings;
112|sound outsid public address system voic amplif form loud speaker oper volum audibl beyond boundari properti sound origin provis shall appli licens commun activ|Disturbance|Sound from outside public address systems, voice amplification and any other form of loud speaker operated at a volume audible beyond the boundaries of the property from which the sound originates. This provision shall not apply only to licensed community activities.
113|person knowingli caus fals alarm fire emerg transmit within organ offici volunt deal emerg involv danger life properti commit misdemeanor|Disturbance|A person who knowingly causes a false alarm of fire or other emergency to be transmitted to, or within any organization, official or volunteer, for dealing with emergencies involving danger to life or property commits a misdemeanor. 
114|fals alarm also call nuisanc alarm decept erron report emerg caus unnecessari panic bring resourc emerg servic place need fals alarm may occur residenti burglari alarm smoke detector industri alarm signal detect theori fals alarm potenti divert emerg respond away legitim emerg could ultim lead loss life case repeat fals alarm certain area may caus occup develop alarm fatigu start ignor alarm know time probabl fals|Disturbance|A false alarm, also called a nuisance alarm, is the deceptive or erroneous report of an emergency, causing unnecessary panic and/or bringing resources (such as emergency services) to a place where they are not needed. False alarms may occur with residential burglary alarms, smoke detectors, industrial alarms, and in signal detection theory. False alarms have the potential to divert emergency responders away from legitimate emergencies, which could ultimately lead to loss of life. In some cases, repeated false alarms in a certain area may cause occupants to develop alarm fatigue and to start ignoring most alarms, knowing that each time it will probably be false.
115|fight mani state citi prosecutor punish fight brawl physic scuffl disorderli conduct even though seriou charg assault batteri may appli howev circumst case often determin whether prosecutor charg accus assault batteri disorderli conduct seriou charg protest engag peac protest constitut protect right engag disrupt protest exampl court held particip sit demonstr engag disorderli conduct block traffic pedestrian walkway disturb assembl interrupt citi council meet public ralli religi ceremoni enough qualifi disorderli conduct public misconduct engag normal privat conduct public place often charg disorderli conduct public urin public masturb public intox constitut disorderli conduct polic encount mani disorderli conduct charg aris encount peopl polic exampl argu polic offic count disorderli conduct argu polic engag threaten conduct use type physic contact person fail compli polic order move away public area also doesnt typic engag disorderli conduct unless polic offic issu order situat crowd control issu|Disturbance|Fighting: Many states and city prosecutors punish fighting, brawling, or physical scuffles as disorderly conduct, even though more serious charges of assault or battery may apply. However, the circumstances of each case often determine whether a prosecutor charges the accused with assault, battery, disorderly conduct, or more serious charges. Protests: While engaging in peaceful protests is a constitutionally protected right, engaging in disruptive protests is not. For example, courts have held that participants in a sit-in demonstration engaged in disorderly conduct because they blocked traffic on a pedestrian walkway. Disturbing an assembly: Interrupting a city council meeting, a public rally, or religious ceremony can be enough to qualify as disorderly conduct. Public misconduct: Engaging in what is normally private conduct in a public place is often charged as disorderly conduct. Public urination, public masturbation, and public intoxication can constitute disorderly conduct. Police encounters: Many disorderly conduct charges arise from encounters people have with the police. For example, while arguing with a police officer does not count as disorderly conduct, arguing with police while engaging in threatening conduct or using any type of physical contact does. A person who fails to comply with a police order to move away from a public area also doesn't typically engage in disorderly conduct, unless the police officer issued the order in a situation where crowd control was an issue.
116|disorderli conduct law differ significantli among state municip type conduct cover law ordin quit broad state typic categor disorderli conduct behavior like caus peopl alarm anger annoy increas likelihood engag unlaw activ let take look disorderli conduct cover|Disturbance|Disorderly conduct laws differ significantly among states and municipalities, and the type of conduct covered by these laws and ordinances is quite broad. States typically categorize disorderly conduct as any behavior that is likely to cause other people alarm, anger, annoyance, or an increased likelihood to engage in unlawful activity. Let's take a look at what disorderly conduct covers.
117|domest violenc violent act sometim like batteri commit person domest law protect assault spous rel date sexual partner state also classifi threat commit violent act protect person domest violenc feder law also make crimin certain act involv violenc commit among person intim addit crimin penalti incid domest violenc serv ground court issu protect order affect contact victim child custodi|Domestic Violence|Domestic violence is a violent act, sometimes like battery, committed against a person in a domestic  whom the law protects from assault, such as a spouse, a relative, or a dating or sexual partner. Some states also classify threats to commit violent acts against protected persons as domestic violence. Federal laws also make criminal certain acts that involve violence committed among persons in intimate . In addition to criminal penalties, incidents of domestic violence can serve as grounds for court-issued protective orders that affect contact with the victim and child custody.
118|domest violenc law typic appli victim resid aggressor time offens spous children person intim|Domestic Violence|Domestic violence laws typically apply to victims who are residing with the aggressor at the time of the offense, such as spouses, children, and persons in intimate . 
119|preval domest violenc arguabl one top health concern countri|Domestic Violence|The prevalence of domestic violence is arguably one of the top health concerns in the country
120|definit domest violenc pattern abus behavior relationship use one partner gain maintain control anoth intim partner|Domestic Violence|the definition of domestic violence is a pattern of abusive behavior in any relationship that is used by one partner to gain or maintain control over another intimate partner
121|domest violenc abus issu never far headlin continu pervas issu unit state state legislatur forefront defin penal domest violenc abus|Domestic Violence|Domestic violence and abuse, an issue that is never far from the headlines, continues to be a pervasive issue in the United States. State legislatures are at the forefront of defining and penalizing domestic violence and abuse.
122|child wit domest violenc|Domestic Violence|child witnessing of domestic violence
123|domest violenc law provid crimin rule punish caus emot physic harm other share famili close relationship also deal civil protect avail victim type harm|Domestic Violence|Domestic violence law provides the criminal rules for punishing those who cause emotional or physical harm to others with whom they share a family or other close relationship. It also deals with the civil protections available to victims of this type of harm
124|convict domest violenc state requir defend conduct relationship victim meet certain standard|Domestic Violence|Convictions for domestic violence in all states require that the defendant's conduct and relationship to the victim meet certain standards
125|defend charg domest violenc begin fulli understand natur court proceed option avail|Domestic Violence|a defendant charged with domestic violence will begin to more fully understand the nature of the court proceeding and the options available
126|law defin domest violenc date violenc specif way everi state u territori law allow court issu protect order mani tribal land state territori tribe decid defin domest violenc law help protect victim law differ one state anoth state includ date violenc restrain order law georgia south carolina date coupl must child togeth live togeth point although may victim domest violenc date violenc law state may written way includ protect|Domestic Violence|The law defines domestic violence and dating violence in very specific ways. Every state and U.S. territory has laws that allow its courts to issue protection orders, as do many tribal lands. Each state, territory or tribe decides for itself how to define domestic violence and how its laws will help and protect victims, so the laws are different from one state to another. Most states include dating violence in their restraining order laws. In Georgia and South Carolina, the dating couple must have a child together or live together at some point.1 Although you may be a victim of domestic violence or dating violence, the laws in your state may be written in a way that does not include or protect you
127|term drug paraphernalia refersto equip use toproduc conceal consum illicitdrug includ limit toitem bong roach clip miniatur spoon variou typesof pipe|Drug Paraphernalia|The term drug paraphernalia refersto any equipment that is used toproduce, conceal, and consume illicitdrugs. It includes but is not limited toitems such as bongs, roach clips,miniature spoons, and various typesof pipes.
128|feder law term drug paraphernalia mean equip product materi kind whichi primarili intend design forus manufactur compound convert conceal produc|Drug Paraphernalia|Under federal law the term drug paraphernalia means “any equipment,product or material of any kind whichis primarily intended or designed foruse in manufacturing, compounding,converting, concealing, producing
129|identifi drug paraphernalia challeng product oftenar market though weredesign legitim purpos marijuana pipe bong exam ple frequent carri mislead di claimer indic areintend use tobaccoproduct recogn drug paraph nalia often involv consid otherfactor manner whichitem display sale descriptivemateri instruct accompanyingth item type businesssel item|Drug Paraphernalia|Identifying drug paraphernalia can be challenging because products oftenare marketed as though they weredesigned for legitimate purposes.Marijuana pipes and bongs, for exam-ple, frequently carry a misleading dis-claimer indicating that they areintended to be used only with tobaccoproducts. Recognizing drug parapher-nalia often involves considering otherfactors such as the manner in whichitems are displayed for sale, descriptivematerials or instructions accompanyingthe items, and the type of businessselling the items.
130|appear drug paraphernalia vari depend upon manufac turer intend purpos|Drug Paraphernalia|The appearance of drug paraphernalia varies depending upon the manufac-turer and intended purpose
131|drug paraphernalia beobtain variou mean|Drug Paraphernalia|Drug paraphernalia can beobtained through various means.
132|punish drug paraphernalia gener less sever offens involv illicit drug|Drug Paraphernalia|Punishments for drug paraphernalia are generally less severe than for offenses involving illicit drugs themselves
133|paraphernalia gener fall two categori user specif product dealer specif product|Drug Paraphernalia|Paraphernalia generally falls into two categories: user-specific products and dealer-specific products. 
134|drug paraphernalia involv violat subsect section shall subject seizur forfeitur upon convict person violat|Drug Paraphernalia|Any drug paraphernalia involved in any violation of subsection (a) of this section shall be subject to seizure and forfeiture upon the conviction of a person for such violation
135|drug paraphernalia equip product materi kind use intend use design use plant propag cultiv grow harvest manufactur compound convert produc process prepar test analyz packag repackag store conceal contain inject ingest|Drug Paraphernalia|Drug paraphernalia is equipment, products and materials of any kind which are used, intended for use, or designed for use, in planting, propagating, cultivating, growing, harvesting, manufacturing, compounding, converting, producing, processing, preparing, testing, analyzing, packaging, repackaging, storing, concealing, containing, injecting, ingesting,
136|determin whether item constitut drug paraphernalia addit logic relev factor follow may consid|Drug Paraphernalia|In determining whether an item constitutes drug paraphernalia, in addition to all other logically relevant factors, the following may be considered:
137|whoever rescu attempt rescu instig aid assist escap attempt escap person arrest upon warrant process issu law unit state commit custodi attorney gener institut facil direct shall custodi confin virtu arrest charg feloni convict offens fine titl imprison five year custodi confin extradit exclus expuls proceed immigr law virtu arrest charg misdemeanor prior convict fine titl imprison one year|Elusion|Whoever rescues or attempts to rescue or instigates, aids or assists the escape, or attempt to escape, of any person arrested upon a warrant or other process issued under any law of the United States, or committed to the custody of the Attorney General or to any institution or facility by his direction, shall, if the custody or confinement is by virtue of an arrest on a charge of felony, or conviction of any offense, be fined under this title or imprisoned not more than five years, or both; or, if the custody or confinement is for extradition, or for exclusion or expulsion proceedings under the immigration laws, or by virtue of an arrest or charge of or for a misdemeanor, and prior to conviction, be fined under this title or imprisoned not more than one year, or both.
138|whoever rescu attempt rescu instig aid assist escap attempt escap person custodi attorney gener author repres person arrest upon warrant process issu law unit state institut facil confin direct attorney gener shall custodi confin virtu law arrest violat law unit state punish death life imprison commit person eighteenth birthday attorney gener specif direct institut crimin proceed virtu commit juvenil delinqu section titl fine titl imprison one year|Elusion|Whoever rescues or attempts to rescue or instigates, aids, or assists the escape or attempted escape of any person in the custody of the Attorney General or his authorized representative, or of any person arrested upon a warrant or other process issued under any law of the United States or from any institution or facility in which he is confined by direction of the Attorney General, shall, if the custody or confinement is by virtue of a lawful arrest for a violation of any law of the United States not punishable by death or life imprisonment and committed before such person’s eighteenth birthday, and as to whom the Attorney General has not specifically directed the institution of criminal proceedings, or by virtue of a commitment as a juvenile delinquent under section 5034 of this title, be fined under this title or imprisoned not more than one year, or both.
139|precis definit elud polic offic differ somewhat state state offens basic driver intent disobey law enforc offic command stop exampl evad includ|Elusion|The precise definition of eluding a police officer can differ somewhat from state to state, but the offense is basically a driver intentionally disobeying a law enforcement officer’s command to stop. Some examples of evading include:
140|flee attempt elud polic offic offens defin driver motor vehicl will fail refus bring vehicl stop otherwis flee attempt elud pursu polic offic given visual audibl signal bring vehicl stop commit offens grade subsect|Elusion|Fleeing or attempting to elude police officer. Offense defined.--Any driver of a motor vehicle who willfully fails or refuses to bring his vehicle to a stop, or who otherwise flees or attempts to elude a pursuing police officer, when given a visual and audible signal to bring the vehicle to a stop, commits an offense as graded in subsection
141|attempt elud pursu polic vehicl|Elusion|while attempting to elude a pursuing police vehicle
142|attempt elud peac offic will attempt manner elud peac offic elud peac offic guilti misdemeanor|Elusion|attempt to elude such peace officer, or willfully attempts in any other manner to elude the peace officer, or who does elude such peace officer, is guilty of a misdemeanor
143|driver motor vehicl will otherwis flee attempt elud pursu polic vehicl polic|Elusion|Any driver of a motor vehicle who willfully otherwise flees or attempts to elude a pursuing police vehicle or police
144|otherwis flee attempt elud pursu polic vehicl polic|Elusion|who otherwise flees or attempts to elude a pursuing police vehicle or police
145|escap voluntari departur custodi requir escape knowledg action would result leav physic confin without permiss|Elusion|Escape is a voluntary departure from custody which requires that the escapee have knowledge that his/her actions would result in his/her leaving physical confinement without permission.
146|order individu accus escap convict element crime must prove element govern specif languag state statut gener common law principl may incorpor within statut law may depart variou way feder statut also make crime escap feder custodi|Elusion|In order for an individual who has been accused of escape to be convicted, all elements of the crime must be proved. Such elements are governed by the specific language of each state statute. The general common-law principles may be incorporated within a statute, or the law may depart from them in various ways. Federal statutes also make it a crime to escape from federal custody.
147|embezzl|Embezzlement|embezzlement
148|method embezzl differ|Embezzlement|Methods of embezzlement differ.
149|embezzl take top continu acquir small amount time|Embezzlement|Some embezzlers take off the top so that they continually acquire a small amount over time
150|compani creat safeguard protect embezzl|Embezzlement|Companies have created safeguards to protect against embezzlement
151|embezzl face split duti add difficult requir form collus arrang like requir split proce lower payoff member arrang|Embezzlement|Embezzlement in the face of split duties adds the difficult requirement of forming a collusive arrangement and likely requires split proceeds, lowering the payoff for each member of the arrangement.
152|prove embezzl requir show either employe possess good fund employe posit employe author exercis substanti control good fund|Embezzlement|proving embezzlement only requires showing either that the employee had possession of the goods or funds because of the employee’s position or that the employee had the authority to exercise substantial control over the goods or funds.
153|embezzl|Embezzlement|embezzle
154|embezzl simpli take larg amount money other take small amount long period time|Embezzlement|Some embezzlers simply take large amounts of money at once, while others take small amounts over a long period of time.
155|crime embezzl money|Embezzlement|The crime of embezzlement does not have to be about money
156|convers compani properti comput vehicl also consid embezzl sometim state embezzl statut even includ take real properti addit person properti|Embezzlement|The conversion of company property such as computers or vehicles is also considered embezzlement. Sometimes state embezzlement statutes even include the taking of real property in addition to personal property.
157|gun law unit state regul sale possess use firearm ammunit state law law district columbia u territori vari consider independ exist feder firearm law although sometim broader limit scope feder law|Firearms|Gun laws in the United States regulate the sale, possession, and use of firearms and ammunition. State laws (and the laws of the District of Columbia and of the U.S. territories) vary considerably, and are independent of existing federal firearms laws, although they are sometimes broader or more limited in scope than the federal laws. 
158|firearm owner subject firearm law state exclus state resid reciproc state exist certain situat regard conceal carri permit recogn state state basi exampl idaho recogn oregon permit oregon recogn idaho permit florida issu licens carri conceal weapon firearm other licens conceal carri firearm state recogn state permit carri firearm import understand law state travel handgun|Firearms|Firearm owners are subject to the firearm laws of the state they are in, and not exclusively their state of residence. Reciprocity between states exists in certain situations, such as with regard to concealed carry permits. These are recognized on a state-by-state basis. For example, Idaho recognizes an Oregon permit, but Oregon does not recognize an Idaho permit. Florida issues a license to carry both concealed weapons and firearms, but others license only the concealed carry of firearms. Some states do not recognize out-of-state permits to carry a firearm at all, so it is important to understand the laws of each state when traveling with a handgun
159|person commit offens possess defac firearm knowingli possess firearm manufactur serial number identif mark requir law remov defac mar alter destroy|Firearms|A person commits the offense of possession of a defaced firearm if he or she knowingly possesses a firearm with a manufacturer's serial number or other identification mark required by law that has been removed, defaced, marred, altered, or destroyed.
160|although power consum gun laxiti regul present shotgun play vital role variou recreat activ hunt target shoot gener long gun shotgun rifl primarili use sport thu meet far less restrict regard permit licens registr requir unlik handgun respons roughli annual firearm homicid shotgun surprisingli small effect countri violent crime statist loos law pertain shotgun thu stem necess tradit similar classif firearm shotgun regul vari state feder govern regul feder level shotgun pertain length barrel size fire rate calib length shotgun barrel instanc must least inch els firearm classifi short barrel shotgun deem illeg nation firearm act shotgun semi automat fulli automat capabl also regul nation firearm act requir special permit purchas ordinari citizen shotgun use polic enforc militari also feder regul requir special tax background check train test justifi reason weapon feder govern act broad umbrella gun law simpli regul firearm justif use societi|Firearms|Although more powerful than most consumer guns, the laxity in regulation is present because shotguns play a vital role in various recreational activities, such as hunting or target shooting. Generally long guns such as shotguns or rifles are primarily used for such sports, and thus meet far less restriction in regards to permits, licenses, or registration requirements. Unlike handguns,which are responsible for roughly 70% of annual firearm homicides, shotguns have a surprisingly small effect on our country's violent crime statistics. The loose laws pertaining to shotguns, thus stem from both necessity, and tradition. Similar to other classifications of firearms, shotguns are regulated by varying state and Federal governments. Regulations on a federal level for shotguns pertain to length, barrel size, firing rates, and caliber. The length of a shotgun barrel for instance must be at least 18.5 inches or else the firearm is classified as a short barreled shotgun, and deemed illegal under the National Firearms act of 1934. Shotguns with semi-automatic or fully automatic capabilities are also regulated under the National Firearms act of 1934 and require special permits for purchase by an ordinary citizen. Shotguns used by police enforcement or the military are also federally regulated and require special taxes, background checks, training tests, and a justifiable reason to own such a weapon. The federal government acts as a broad umbrella for gun laws; it simply regulates those firearms which have no justification for use in society.
161|nfa weapon made individu must legal state municip individu live payment make tax prior manufactur weapon although subsequ transfer aow legal made class ii manufactur ffl holder licens manufactur firearm type licens paid special occup tax stamp sot manufactur nfa firearm destruct devic tax free pay larger annual tax rang cover manufactur|Firearms|All NFA weapons made by individuals must be legal in the State or municipality where the individual lives. The payment of a $200 making tax prior to manufacture of the weapon, although a subsequent transfer of AOWs after they are legally made is only $5. Only a Class-II manufacturer (a FFL holder licensed as a Manufacture of Firearms or Type-07 license that has paid a Special Occupational Tax Stamp or SOT) can manufacture NFA firearms (other than destructive devices) tax free, but they pay a larger annual tax which ranges from $500 to $1000 to cover manufacturing.[31]
162|current fulli automat trigger group fit semi automat firearm look alik counterpart semi automat version specif construct reject fulli automat trigger group ad metal critic place addit requir atf prevent easi convers titl firearm machin gun|Firearms|Most current fully automatic trigger groups will not fit their semi-automatic firearm look-alike counterparts – the semi-automatic version is specifically constructed to reject the fully automatic trigger group by adding metal in critical places. This addition is required by ATF to prevent easy conversion of Title I firearms into machine guns. 
163|gener certain compon make nfa item consid regul exampl compon silenc consid silenc replac part regul howev repair origin part without replac done origin manufactur ffl gunsmith regist owner without subject new registr long serial number dimens calib maintain length may reduc repair cannot increas increas length consid make new silenc suppressor term use within trade industri literatur term silenc commonli use term appear actual word nfa term often use interchang depend sourc quot|Firearms|In general, certain components that make up an NFA item are considered regulated. For example, the components of a silencer are considered as silencers by themselves and the replacement parts are regulated. However, the repair of original parts without replacement can be done by the original manufacturer, FFL gunsmith, or by registered owner without being subjected to new registration as long as the serial number and the dimension (caliber) are maintained.[14] The length may be reduced in repair, but cannot be increased. Increasing the length is considered as making a new silencer. Suppressor is the term used within the trade/industry literature while the term silencer is the commonly used term that appears in the actual wording of the NFA. The terms are often used interchangeably depending on the source quoted.
164|feder firearm act ffa impos feder licens requir gun manufactur import person busi sell firearm|Firearms|The Federal Firearms Act of 1938 (FFA) imposed a federal license requirement on gun manufacturers, importers, and persons in the business of selling firearms.
165|gun control act bureau alcohol tobacco firearm atf given wide latitud enforc regul pertain holder feder firearm licens ffl enabl individu compani engag busi pertain manufactur import firearm ammunit interst intrast sale firearm citat need alleg abus atf inspector soon aros nation rifl associ nra ffl license citat need particular advoc claim atf repeatedli inspect ffl holder appar purpos harass intend drive ffl holder busi ffl holder would constantli tend atf inspect instead custom|Firearms|Under the Gun Control Act of 1968, the Bureau of Alcohol, Tobacco and Firearms (ATF) was given wide latitude on the enforcement of regulations pertaining to holders of Federal Firearms Licenses (FFL) (which enable an individual or a company to engage in a business pertaining to the manufacture or importation of firearms and ammunition, or the interstate and intrastate sale of firearms).[citation needed] Allegations of abuse by ATF inspectors soon[when?] arose from the National Rifle Association (NRA) and some FFL licensees.[citation needed] In particular, advocates claimed that ATF was repeatedly inspecting FFL holders for the apparent purpose of harassment intended to drive the FFL holders out of business (as the FFL holders would constantly be having to tend to ATF inspections instead of to customers). 
166|firearm owner protect act fopa address abus note senat judiciari subcommitte report among reform intend loosen restrict gun sale reopen interst sale long gun limit basi legal ammunit shipment u postal servic remov requir record keep sale non armor pierc ammunit feder protect transport firearm state possess firearm would otherwis illeg|Firearms|The Firearm Owners Protection Act of 1986 (FOPA) addressed the abuses noted in the 1982 Senate Judiciary Subcommittee report. Among the reforms intended to loosen restrictions on gun sales were the reopening of interstate sales of long guns on a limited basis, legalization of ammunition shipments through the U.S. Postal Service, removal of the requirement for record keeping on sales of non-armor-piercing ammunition, and federal protection of transportation of firearms through states where possession of those firearms would otherwise be illegal
167|fraud cover crimin civil law obviou differ file legal case govern prosecutor bring crimin charg victim fraud file civil lawsuit sometim person commit fraud crimin prosecut su civil action|Fraud|Fraud is covered by both criminal and civil laws. The most obvious difference has to do with who files the legal case. Only government prosecutors can bring criminal charges, but a victim of fraud can file a civil lawsuit. Sometimes a person who commits fraud is both criminally prosecuted and sued in a civil action.
168|ident theft ident fraud term use refer type crime someon wrong obtain use anoth person person data way involv fraud decept typic econom gain exampl someon rummag garbag steal envelop old tax record find social secur number birth date sensit inform|Fraud|Identity theft and identity fraud are terms used to refer to all types of crime in which someone wrongfully obtains and uses another person's personal data in some way that involves fraud or deception, typically for economic gain. For example, someone rummages through your garbage and steals an envelope with some old tax records, finding your Social Security number, birth date, and other sensitive information.
169|ident theft one fastest grow crime nation rob victim time money peac mind ident thiev often use internet also obtain sensit person data trash can unsecur locat fals imperson relat ident theft ident theft seriou|Fraud|Identity theft is one of the fastest-growing crimes in the nation, robbing its victims of time, money and peace of mind. Identity thieves often use the Internet but also can obtain sensitive personal data from trash cans and other unsecured locations. False impersonation is related to identity theft, with identity theft being more serious.
170|fals write check common type fraud done purpos write fals inform check sometim falsifi check consid fals imperson depend far goe person pretend anoth fals imperson howev fals imperson happen onlin imperson find easier imperson anonym mail fraud one common feder crimin charg use u postal servic usp privat interst carrier commit crime deceit give fed easi opportun claim jurisdict follow articl provid definit crime discuss two famou mail fraud convict histori|Fraud|False writing of checks is a common type of fraud. It is done by purposely writing false information on the check. Sometimes falsifying checks can be considered false impersonation, depending on how far it goes. If a person pretends to be another, that is false impersonation. However, most false impersonation happens online as impersonators find it easier to impersonate with anonymity. Mail fraud is one of the most common federal criminal charges. The use of the U.S. Postal Service (USPS) or a private interstate carrier to commit a crime of deceit gives feds an easy opportunity to claim jurisdiction. The following article provides a definition of this crime and a discussion of two of the most famous mail fraud convictions in history.
171|privat civil lawsuit standard proof lower punish often restitut e return victim money monetari damag regul feder trade commiss secur exchang commiss file civil lawsuit unscrupul busi frequent seek injunct restitut victim monetari penalti|Fraud|In private civil lawsuits, the standard of proof is lower and punishment is often restitution (i.e., return of the victim's money) and monetary damages. When regulators such as the Federal Trade Commission or Securities and Exchange Commission file civil lawsuits against unscrupulous businesses, they frequently seek injunctions, restitution to victims and monetary penalties.
172|fraud law cover broad rang crime civil tort action address situat person wrong obtain money properti benefit deceit crimin context fraud typic charg feloni mean convict result year incarcer crimin penalti also includ statutori fine restitut victim reimburs commun servic well loss civil right associ feloni convict civil court financi compens gener plaintiff sole remedi fraud case brought either state feder court|Fraud|Fraud law covers a broad range of crimes and civil tort actions that address situations in which a person wrongfully obtains money, property, or other benefits by deceit. In the criminal context, fraud is typically charged as a felony, meaning that a conviction can result in a year or more of incarceration. Criminal penalties can also include statutory fines, restitution (victim reimbursement), community service, as well as the loss of civil rights associated with a felony conviction. In civil court, financial compensation is generally the plaintiff's sole remedy. Fraud cases can be brought in either state or federal court. 
173|write bad check fraudul purpos seriou offens accompani seriou check fraud penalti found guilti check fraud specif may involv sign anoth person name check forg sign endors signatur check alter write check construct fake check purpos write bad check merchant check fraud law may also vari state state depend sever crime law may consid forger guilti misdemeanor feloni court check fraud forgeri must proven intent defraud anoth person institut write fictiti order prosecut continu requir proven injuri innoc parti practic everi us state pass law declar forgeri illeg punish congress also pass legisl pertain crime|Fraud|Writing a bad check with fraudulent purposes is a serious offense accompanied by serious check fraud penalties for those found guilty. Check fraud specifically may involve signing another person’s name to a check, forging a signed endorsement or signature on a check, altering the writing on a check, constructing a fake check, or purposely writing bad checks to merchants. Check fraud laws may also vary state to state. Depending on the severity of the crime, the law may consider the forger guilty of a misdemeanor or felony. In court, check fraud or forgery must be proven with the intent to defraud another person or institution through writing fictitiously. In order for prosecution to be continued, it is not required that there be proven injury to an innocent party. Practically every US state has passed a law declaring forgery to be illegal and punishable and Congress has also passed its own legislation pertaining to the crime. . 
174|victim fraud may abl recov money lost conclus crimin case assum defend convict judg order full restitut paid issu aris crimin court allow defend escap convict even face overwhelm evid guilt defend may go unpunish result prosecutori error constitut violat commit polic forth contrast likelihood establish liabil civil court much higher|Fraud|Victims of fraud may be able to recover the money they lost at the conclusion of a criminal case, assuming the defendant is convicted and the judge orders full restitution to be paid. But issues can and do arise in criminal court that allow defendants to escape conviction. Even in the face of overwhelming evidence of guilt, a defendant may go unpunished as a result of prosecutorial errors, constitutional violations committed by the police, and so forth. By contrast, the likelihood of establishing liability in civil court is much higher. 
175|besid check credit card offens financi fraud take form counterfeit money launder prize sweepstak fraud invest scheme mortgag foreclosur scam common type non financi fraud includ oversea romanc scheme obtain immigr benefit ident theft exampl mean complet list devic crimin use trick unsuspect victim purpos person gain uniqu kind fraud well variat exist scheme constantli develop forc legislatur creat new fraud crime respons|Fraud|Besides check and credit card offenses, financial fraud can take the form of counterfeiting, money laundering, prize or sweepstakes fraud, investment schemes, mortgage and foreclosure scams, and more. Common types of non-financial fraud include overseas romance schemes (to obtain immigration benefits) and identity theft. These examples are by no means a complete list of the devices criminals use to trick unsuspecting victims for the purpose of personal gain. Unique kinds of fraud, as well as variations on existing schemes, are constantly being developed, forcing legislatures to create new fraud crimes in response. 
176|credit debit card fraud form ident theft involv unauthor take anoth credit card inform purpos charg purchas account remov fund theft occur physic actual credit debit card taken theft occur number stolen unprotect websit card reader ga station|Fraud|Credit and debit card fraud is a form of identity theft that involves an unauthorized taking of another's credit card information for the purpose of charging purchases to the account or removing funds from it. This theft can occur physically when the actual credit and debit card is taken, or the theft can occur when just the numbers are stolen from an unprotected website or a card reader at a gas station.
177|mani level govern author multipl form gambl effort rais money need servic without rais direct tax includ everyth bingo game church basement multimillion dollar poker tournament sometim state advertis revenu certain game devot particular need educ|Gambling|Many levels of government have authorized multiple forms of gambling in an effort to raise money for needed services without raising direct taxes. These include everything from bingo games in church basements, to multimillion-dollar poker tournaments. Sometimes states advertise revenues from certain games to be devoted to particular needs, such as education. 
178|onlin gambl strictli regul feder wire act outlaw interst wager sport address form gambl subject court case unlaw internet gambl enforc act uigea specif prohibit onlin gambl instead outlaw financi transact involv onlin gambl servic provid offshor gambl provid react shut servic us custom oper howev continu circumv uigea continu servic us custom reason uigea receiv critic notabl figur within gambl industri|Gambling|Online gambling has been more strictly regulated. The Federal Wire Act of 1961 outlawed interstate wagering on sports, but did not address other forms of gambling. It has been the subject of court cases. The Unlawful Internet Gambling Enforcement Act of 2006 (UIGEA) did not specifically prohibit online gambling; instead, it outlawed financial transactions involving online gambling service providers. Some offshore gambling providers reacted by shutting down their services for US customers. Other operators, however, have continued to circumvent UIGEA and have continued to service US customers. For this reason, UIGEA has received criticism from notable figures within the gambling industry
